id;nom;description;prix;horaires;tel;lien;photo;emoji;rating;nb_avis;categorie;actif
e1;Journée Crique · Haouaria;Une journée inoubliable dans les criques sauvages du Cap Bon. Accès exclusif à des sites inaccessibles par la route, déjeuner local inclus, eau turquoise garantie.;120 TND/pers.;Départ 9h · Retour 17h;+21624055055;https://jerbievents.com/activite/3;;🏝️;4.9;128;activite;OUI
e2;Balade en Mer · Privatisation;Votre bateau, votre itinéraire. Haykel vous guide vers les spots secrets inaccessibles par la route. Privatisation possible pour groupes et incentives.;120 TND/pers.;Demi-journée ou journée complète;+21624055055;https://jerbievents.com/activite/5;;⛵;4.8;89;activite;OUI
